Id,CompanyName,CompanyTypeId,PrivateEquityCompanySectors,PrivateEquityPortfolioCompanies,VerticalId,SubVerticalId,NumberOfEmployees,LTMRevenue,LTM EBITA,CurrencyId,EnterpriseValue,YearFounded,ParentCompany,AssetsUnderManagement,AddressLine1,AddressLine2,City,PostCode,Country,ContactId,Website,AdditionalDescription,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
COM_085,Boston Market,1,,,2,27,,,41.6,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_086,Brentwood Associates,3,,,,,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_087,Brightstar (U.S.),1,,,1,5,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_088,Brownie Brittle,1,,,2,26,,,-1.7,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_089,BuildZoom,1,,,3,29,,,49.0,,600.0,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_090,CCMP,3,,,,,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_091,CCMP Capital,3,"- Consumer products
- Industrial","- Jetro Cash & Carry
- Shoes for Crews",,,,,,USD,,,,12.0,,,,,,,www.ccmpcapital.com,- Are big on Consumer and industrial,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_092,CD&R,3,,,,,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_093,CFGI,1,,,1,38,,,,,320,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_094,CHA Consulting,1,,,1,38,,,,,260,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_095,CIBTvisas,1,,,1,12,,,,,650,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_096,CIVC,3,,,,,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_097,CLEAResult,1,,,1,8,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_098,CPMG,3,,,,,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_099,CVC,3,,,,,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_100,Café Rio,1,,,2,27,,,22.0,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_101,Café Valley,1,,,2,26,,,18.0,,135.0,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_102,Caltius,3,,,,,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_103,Canaccord,2,,,,,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_104,Cantor Fitzgerald,2,,,,,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_105,Capco,1,,,1,16,,,,,599,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_106,Capgemini,3,,,,,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_107,Capital Brands,1,,,2,24,,,56.2,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_108,Capsa,1,,,3,31,,,34.0,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_109,Captain D's,1,,,2,27,,,36.8,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_110,CareCentrix,1,,,3,33,,1490.0,95.0,,1200.0,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_111,Carlyle,3,,,,,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_112,Carolina Beverage Group,1,,,2,26,,,31.9,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_113,Carrabba's,1,,,2,27,,,85.0,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_114,Carve out of Navigant,1,,,1,38,,,,,600,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
COM_115,Cascadia Capital,2,,,,,,,,,,,,,,,,,,,,,2025-07-14 10:12:51.638110,System_Data_Migration,2025-07-14 10:12:51.645241,System_Data_Migration
