Id,CompanyName,CompanyTypeId,PrivateEquityCompanySectors,PrivateEquityPortfolioCompanies,VerticalId,SubVerticalId,NumberOfEmployees,LTMRevenue,LTM EBITA,CurrencyId,EnterpriseValue,YearFounded,ParentCompany,AssetsUnderManagement,AddressLine1,AddressLine2,City,PostCode,Country,ContactId,Website,AdditionalDescription,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
COM_371,Nautic Partners LLC,3,- Industrial Products,"- Custom Windows
- Precision Engineered Products",,,,,,1,,,,13.0,,,,,,,www.nautic.com,"- We've had contact with them before for FS so it's going to be  warm contact
-  They do a lot of industrial products (e.g. Custom Windows)",,,,
COM_372,Nestlé USA Confectionary,1,,,2,26,,,195.0,,,,,,,,,,,,,,,,,
COM_373,New Century Health,1,,,3,33,,,21.0,,,,,,,,,,,,,,,,,
COM_374,New Mountain,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_375,Newell Industrial & Commercial Brands,1,,,2,24,,,,,,,,,,,,,,,,,,,,
COM_376,Nextdoor.com,1,,,2,27,,,221.0,,,,,,,,,,,,,,,,,
COM_377,Nomura,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_378,Nomura Bank of America,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_379,Nonni's,1,,,2,26,,,21.0,,,,,,,,,,,,,,,,,
COM_380,North Point,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_381,North Point Advisors,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_382,"North Point, Jefferies",2,,,,,,,,,,,,,,,,,,,,,,,,
COM_383,"North Point, Morgan Stanley",2,,,,,,,,,,,,,,,,,,,,,,,,
COM_384,Norwest,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_385,Nutex Health,1,,,3,34,,,40.0,,,,,,,,,,,,,,,,,
COM_386,NxGen MDx,1,,,3,28,,,49.0,,,,,,,,,,,,,,,,,
COM_387,Oak Hill,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_388,Oaktree,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_389,Ob Hospitalist Group,1,,,3,28,,,47.0,,625.0,,,,,,,,,,,,,,,
COM_390,Odyssey Investment,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_391,Old Chicago,1,,,2,27,,,22.6,,,,,,,,,,,,,,,,,
COM_392,Olympus,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_393,OneSpaWorld,1,,,2,23,,,59.0,,,,,,,,,,,,,,,,,
COM_394,Onex,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_395,Oppenheimer,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_396,Organix,1,,,1,4,,,,,207,,,,,,,,,,,,,,,
COM_397,Ortholite,1,,,2,24,,,54.1,,,,,,,,,,,,,,,,,
COM_398,Osmose,1,,,1,4,,,,,,,,,,,,,,,,,,,,
COM_399,PDC Brands,1,,,2,24,,,92.0,,900.0,,,,,,,,,,,,,,,
COM_400,PJSC,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_401,PLH,1,,,1,4,,,,,680,,,,,,,,,,,,,,,
COM_402,PLI,1,,,1,3,,,,,300,,,,,,,,,,,,,,,
COM_403,PSG,1,,,1,7,,,,,,,,,,,,,,,,,,,,
COM_404,PSI Services,1,,,1,37,,,,,500,,,,,,,,,,,,,,,
COM_405,PSSI,1,,,1,4,,,,,1600,,,,,,,,,,,,,,,
COM_406,Pacon,1,,,2,24,,,35.0,,,,,,,,,,,,,,,,,
COM_407,Palladium,3,,,,,,,,,,,,,,,,,,,,,,,,
